id,title,author,rd,ca,cs,img,created_at,updated_at,size,app_type
91,Hearts of Iron IV,Paradox Interactive,2016-06-06,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/394360/header.jpg?t=1678118830,,,2,0
92,Metal Gear Solid V The Phantom Pain,Konami Digital Entertainment,2015-09-01,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/287700/header.jpg?t=1667801931,,,28,0
93,PC Building Simulator,Claudiu Kiss | The Irregular Corporation,2019-01-29,CODEX-PLAZA,1,https://cdn.akamai.steamstatic.com/steam/apps/621060/header.jpg?t=1653555111,,,30,0
94,The Sims 4,Maxis | Electronic Arts,2014-09-02,Anadius,1,https://cdn.akamai.steamstatic.com/steam/apps/1222670/header.jpg?t=1677169458,,,26,0
95,SteamWorld Dig,Image & Form Games,2013-12-05,Rough N’ Gentle,1,https://cdn.akamai.steamstatic.com/steam/apps/252410/header.jpg?t=1674498377,,,0.08,0
96,Sleeping Dogs,"United Front Games, Feral Interactive (Mac) | Square Enix",2014-10-08,3DM,1,https://cdn.akamai.steamstatic.com/steam/apps/307690/header.jpg?t=1602800785,,,20,0
97,Ridge Racer Unbounded,BUGBEAR | BANDAI NAMCO Entertainment,2012-03-30,Skidrow,1,https://cdn.akamai.steamstatic.com/steam/apps/202310/header.jpg?t=1676374201,,,3,0
98,BeamNG.drive,BeamNG,2015-05-29,DRM FREE,1,https://cdn.akamai.steamstatic.com/steam/apps/284160/header.jpg?t=1670937192,,,45,0
99,Cities Skylines,Colossal Order Ltd. | Paradox Interactive,2015-03-10,CODEX,1,https://cdn.akamai.steamstatic.com/steam/apps/255710/header.jpg?t=1678118884,,,14,0
100,Among Us,Innersloth,2018-11-16,IGGGAMES,1,https://cdn.akamai.steamstatic.com/steam/apps/945360/header.jpg?t=1673370035,,,0.3,0
